OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths
1,,Afghanistan,33.93911,67.709953,195631,7787
2,,Albania,41.1533,20.1683,330948,3584
3,,Algeria,28.0339,1.6596,270532,6879
4,,Andorra,42.5063,1.5218,46113,155
5,,Angola,-11.2027,17.8739,103131,1917
6,,Antarctica,-71.9499,23.347,11,0
7,,Antigua and Barbuda,17.0608,-61.7964,8974,145
8,,Argentina,-38.4161,-63.6167,9689861,129769
9,,Armenia,40.0691,45.0382,436727,8662
10,Australian Capital Territory,Australia,-35.4735,149.0124,203680,125
11,New South Wales,Australia,-33.8688,151.2093,3463759,5046
12,Northern Territory,Australia,-12.4634,130.8456,96447,70
13,Queensland,Australia,-27.4698,153.0251,1620034,2048
14,South Australia,Australia,-34.9285,138.6007,758840,860
15,Tasmania,Australia,-42.8821,147.3272,246706,182
16,Victoria,Australia,-37.8136,144.9631,2586290,5469
17,Western Australia,Australia,-31.9505,115.8605,1139054,626
18,,Austria,47.5162,14.5501,4984809,20678
19,,Azerbaijan,40.1431,47.5769,817596,9852
20,,Bahamas,25.025885,-78.035889,37125,823
21,,Bahrain,26.0275,50.55,673693,1518
22,,Bangladesh,23.685,90.3563,2014577,29332
23,,Barbados,13.1939,-59.5432,101850,556
24,,Belarus,53.7098,27.9534,994037,7118
25,Antwerp,Belgium,51.2195,4.4024,724170,0
26,Brussels,Belgium,50.8503,4.3517,486779,0
27,East Flanders,Belgium,51.0362,3.7373,609374,0
28,Flemish Brabant,Belgium,50.9167,4.5833,439232,0
29,Hainaut,Belgium,50.5257,4.0621,494027,0
30,Liege,Belgium,50.4496,5.8492,401822,0
31,Limburg,Belgium,50.9739,5.342,331402,0
32,Luxembourg,Belgium,50.0547,5.4677,116359,0
33,Namur,Belgium,50.331,4.8221,192313,0
34,Unknown,Belgium,,,60821,32575
35,Walloon Brabant,Belgium,50.4,4.35,165055,0
36,West Flanders,Belgium,51.0536,3.1458,475845,0
37,,Belize,17.1899,-88.4976,68473,680
38,,Benin,9.3077,2.3158,27490,163
39,,Bhutan,27.5142,90.4336,61233,21
40,,Bolivia,-16.2902,-63.5887,1105812,22216
41,,Bosnia and Herzegovina,43.9159,17.6791,397098,16090
42,,Botswana,-22.3285,24.6849,325931,2786
43,Acre,Brazil,-9.0238,-70.812,149378,2027
44,Alagoas,Brazil,-9.5713,-36.782,320552,7118
45,Amapa,Brazil,0.902,-52.003,178178,2159
46,Amazonas,Brazil,-3.4168,-65.8561,614752,14304
47,Bahia,Brazil,-12.5797,-41.7007,1689830,30675
48,Ceara,Brazil,-5.4984,-39.3206,1382048,27609
49,Distrito Federal,Brazil,-15.7998,-47.8645,837928,11825
50,Espirito Santo,Brazil,-19.1834,-40.3089,1214891,14803
51,Goias,Brazil,-15.827,-49.8362,1685781,27505
52,Maranhao,Brazil,-4.9609,-45.2744,469805,10988
53,Mato Grosso,Brazil,-12.6819,-56.9211,827903,14935
54,Mato Grosso do Sul,Brazil,-20.7722,-54.7852,578853,10818
55,Minas Gerais,Brazil,-18.5122,-44.555,3874629,63659
56,Para,Brazil,-1.9981,-54.9306,834883,18812
57,Paraiba,Brazil,-7.24,-36.782,651816,10400
58,Parana,Brazil,-25.2521,-52.0215,2740391,45182
59,Pernambuco,Brazil,-8.8137,-36.9541,1052904,22240
60,Piaui,Brazil,-7.7183,-42.7289,400100,7944
61,Rio Grande do Norte,Brazil,-5.4026,-36.9541,552885,8449
62,Rio Grande do Sul,Brazil,-30.0346,-51.2177,2721406,40935
63,Rio de Janeiro,Brazil,-22.9068,-43.1729,2500526,75558
64,Rondonia,Brazil,-11.5057,-63.5806,455188,7354
