Country,2019,2020,2021,2022,2023
Afghanistan,32.2,32.941,33.698,34.263,n/a
Albania,2.881,2.878,2.873,2.866,2.858
Algeria,43.424,43.851,44.577,45.291,45.973
Andorra,0.078,0.078,0.08,0.082,0.084
Angola,32.354,33.428,34.504,35.711,36.783
Antigua and Barbuda,0.096,0.098,0.099,0.101,0.102
Argentina,44.939,45.388,45.842,46.3,46.763
Armenia,2.963,2.962,2.962,2.962,2.963
Aruba,0.109,0.109,0.108,0.107,0.107
Australia,25.52,25.631,25.772,26.268,26.584
Austria,8.859,8.901,8.98,9.025,9.07
Azerbaijan,9.982,10.067,10.119,10.156,10.278
The Bahamas,0.385,0.389,0.394,0.399,0.404
Bahrain,1.484,1.472,1.504,1.542,1.581
Bangladesh,163.046,164.689,166.657,168.52,170.279
Barbados,0.287,0.288,0.289,0.289,0.29
Belarus,9.429,9.41,9.35,9.256,9.21
Belgium,11.456,11.522,11.555,11.618,11.695
Belize,0.408,0.421,0.43,0.442,0.451
Benin,12.29,12.643,13.011,13.38,13.76
Bhutan,0.738,0.745,0.753,0.76,0.767
Bolivia,11.47,11.63,11.8,11.96,12.13
Bosnia and Herzegovina,3.491,3.487,3.481,3.473,3.464
Botswana,2.5,2.546,2.588,2.63,2.675
Brazil,200.047,200.978,202.02,203.063,204.246
Brunei Darussalam,0.451,0.442,0.441,0.441,0.441
Bulgaria,6.951,6.917,6.839,6.448,6.409
Burkina Faso,20.952,21.54,22.145,22.766,23.405
Burundi,11.529,11.875,12.231,12.598,12.976
Cabo Verde,0.55,0.557,0.563,0.57,0.577
Cambodia,15.6,15.678,15.835,15.993,16.153
Cameroon,25.876,26.546,27.224,27.912,28.608
Canada,37.54,37.977,38.205,38.846,39.773
Central African Republic,4.745,4.83,4.92,5.017,5.119
Chad,15.947,16.426,16.915,17.414,17.921
Chile,19.107,19.458,19.678,19.829,19.961
China,"1,410.08","1,412.12","1,412.60","1,411.75","1,411.40"
Colombia,49.396,50.372,51.049,51.609,52.156
Comoros,0.874,0.897,0.921,0.955,0.991
Democratic Republic of the Congo,87.911,90.794,93.751,96.801,99.948
Republic of Congo,4.568,4.682,4.799,4.919,5.042
Costa Rica,5.075,5.128,5.18,5.229,5.279
Côte d'Ivoire,26.275,26.958,27.659,28.378,29.116
Croatia,4.065,4.048,3.879,3.854,3.841
Cyprus,0.876,0.888,0.896,0.905,0.921
Czech Republic,10.694,10.702,10.517,10.828,11.001
Denmark,5.806,5.823,5.84,5.873,5.893
Djibouti,0.974,0.988,1.002,1.016,1.03
Dominica,0.072,0.073,0.074,0.074,0.074
Dominican Republic,10.358,10.448,10.539,10.631,10.724
Ecuador,17.268,17.511,17.757,18.006,18.259
